,ID,Name,Pseudonyms,Link,Picture,Jobs,Born,Died,Lived in
98,1555,Laura Bayley,Laura Eugenia Bayley|L.E.S|Laura Eugenia Smith|Mrs. George Albert Smith,https://wfpp.columbia.edu/person/laura-bayley/,,accountant|cinematographer|actress|secretary,1864,1938,England
99,16586,Leila Lewis,Leila Stewart,https://wfpp.columbia.edu/person/leila-lewis/,https://wfpp.columbia.edu/wp-content/uploads/2018/05/Leila-Stewart.-GettyImages-102578822_master.jpg,director|critic|writer|manager,1893,1939,England
100,12923,Lydia Hayward,Lydia Elizabeth Hayward|Lydia Elizabeth Forrest|Lydia Elizabeth Freshman,https://wfpp.columbia.edu/person/lydia-hayward/,https://wfpp.columbia.edu/wp-content/uploads/2017/07/WFP-HAY01-e1501872735855.jpg,adapter|actress|editor|scenarist|writer,1879,1945,England
101,1573,Margaret Hepworth,Mrs. Hepworth|Margaret Hope McGuffie|Margarete McGuffie Hepworth,https://wfpp.columbia.edu/person/margaret-mcguffie-hepworth/,,business partner|actress|writer,1874,1917,England
102,12778,Marie Stopes,Marie Carmichael|Marie Carmichael Stopes|Marie Charlotte Carmichael Stopes,https://wfpp.columbia.edu/person/marie-stopes/,https://wfpp.columbia.edu/wp-content/uploads/2016/06/WFP2-STOP04-featured-image.jpg,consultant|writer,1880,1958,England
103,1598,Nell Emerald,Mrs. N. Beattie|Ellen Maud O’Shea,https://wfpp.columbia.edu/person/nell-emerald/,,company director|actress|musician|producer|writer,1882,1969,England
104,1450,Dorothy Farnum,Mrs. Maurice Barber,https://wfpp.columbia.edu/person/dorothy-farnum/,https://wfpp.columbia.edu/wp-content/uploads/CCP_Farnum_FIG134B_WFP-FARN011-e1322805644298.jpg,adapter|actress|writer,1896,1970,England
105,1450,Dorothy Farnum,Mrs. Maurice Barber,https://wfpp.columbia.edu/person/dorothy-farnum/,https://wfpp.columbia.edu/wp-content/uploads/CCP_Farnum_FIG134B_WFP-FARN011-e1322805644298.jpg,adapter|actress|writer,1896,1970,France
106,1450,Dorothy Farnum,Mrs. Maurice Barber,https://wfpp.columbia.edu/person/dorothy-farnum/,https://wfpp.columbia.edu/wp-content/uploads/CCP_Farnum_FIG134B_WFP-FARN011-e1322805644298.jpg,adapter|actress|writer,1896,1970,United States
107,1575,Margaret Turnbull,,https://wfpp.columbia.edu/person/margaret-turnbull/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-TURNB01.jpg,adapter|writer,1872,1942,England
108,1575,Margaret Turnbull,,https://wfpp.columbia.edu/person/margaret-turnbull/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-TURNB01.jpg,adapter|writer,1872,1942,France
