,ID,Jobs
694,17671,film company owner
695,17671,cinematographer
696,17671,producer
697,17671,writer
698,17671,studio head
699,1365,producer
700,1365,writer
701,1365,actress
702,21640,co-founder
703,21640,distributor
704,1366,company director
705,1366,musician
706,1366,actress
707,1366,writer
708,1366,producer
709,1366,musician
710,6,editor
711,1368,writer
712,20329,cinematographer
713,20329,filmmaker
714,20329,visual artist
715,1386,agent
716,1386,writer
717,1386,play broker
718,1386,actress
719,1386,entrepreneur
720,1387,company director
721,1387,actress
722,1387,producer
723,1387,musician
724,1387,stunt person
725,1388,writer
726,1390,accountant
727,1390,actress
728,1390,film company founding partner
729,1390,producer
730,1393,editor
731,1393,director
732,1393,producer
733,1393,writer
734,21748,continuity
735,21748,actress
736,21748,writer
737,22251,writer
738,22251,publicist
739,22251,writer
740,22251,manager
741,1394,adapter
742,1394,writer
743,1323,editor
744,1400,writer
745,1400,stenographer
746,11135,dancer
747,11135,actress
748,11135,film company owner
749,11135,producer
750,1409,adapter
751,1409,scenarist
752,1409,writer
753,1411,producer
754,1411,actress
755,1418,dressmaker
756,1420,director
757,1420,producer
758,1420,writer
759,1420,actress
760,1421,actress
761,1421,producer
762,20328,lecturer
763,1423,company director
764,1423,musician
765,1423,producer
766,1423,actress
767,1423,writer
768,1435,director
769,1435,editor
770,1435,writer
771,1441,director
772,1441,actress
773,1441,producer
774,1441,writer
775,1454,adapter
776,1454,writer
777,1454,reader
778,1454,secretary
779,1457,director
780,1457,actress
781,1457,writer
782,1110,writer
783,1110,musician
784,1110,writer
785,1466,producer
786,1466,writer
787,1466,actress
788,1466,director
789,1466,entrepreneur
790,1468,director
791,1468,filmmaker
792,1468,writer
793,14897,head of studio research department
794,14897,writer
795,14897,reader
796,14897,researcher
797,14897,writer
798,14897,studio librarian
799,14897,actress
800,4,director
801,4,producer
802,4,writer
803,4,editor
804,1470,director
805,1470,actress
806,1470,writer
807,1114,actress
808,1114,manager
809,1114,writer
810,1478,actress
811,1478,film company founding partner
812,1478,producer
813,1480,adapter
814,1480,director
815,1480,producer
816,1480,editor
817,1480,writer
818,1480,actress
819,1481,adapter
820,1481,company director
821,1481,continuity
822,1481,editor
823,1481,reader
824,1481,writer
825,1481,actress
826,10702,extra
827,10702,critic
828,10702,editor
829,10702,producer
830,10702,publicist
831,10702,agent
832,1483,comedienne
833,1483,director
834,1483,actress
835,1483,film company owner
836,1483,producer
837,1483,writer
838,1490,comedienne
839,1490,actress
840,1490,film company owner
841,1490,producer
842,1493,actress
843,1493,producer
844,1499,adapter
845,1499,director
846,1499,actress
847,1499,writer
848,1506,scholar
849,1506,writer
850,1507,editor
851,1507,writer
852,1511,actress
853,1511,producer
854,1511,writer
855,1519,director
856,1519,company director
857,1519,actress
858,1519,producer
859,1519,writer
860,1523,writer
861,1524,editor
862,1524,executive
863,1524,producer
864,1524,actress
865,1524,film company founding partner
866,1524,writer
867,1524,secretary
868,12759,writer
869,12759,editor
870,1525,accountant
871,1525,secretary
872,1525,typist
873,1526,actress
874,1526,producer
875,1527,director
876,1527,actress
877,1527,writer
878,1564,director
879,1564,actress
880,1564,writer
881,1564,producer
882,15770,musician
883,1531,director
884,1531,actress
885,1531,film company owner
886,1531,producer
887,1531,writer
888,1532,animal trainer
889,1532,producer
890,1532,director
891,1532,actress
892,1532,writer
893,1532,stunt person
894,1533,actress
895,1533,producer
896,1533,writer
897,18472,animator
898,18472,director
899,18472,writer
900,18472,painter
901,18472,producer
902,18472,visual artist
903,1535,censor
904,1535,actress
905,1535,production editor
906,1535,editor
907,1535,writer
908,1536,extra
909,1536,actress
910,1536,writer
911,1536,critic
912,1538,director
913,1538,editor
914,1538,writer
915,10,editor
916,9,director
917,9,editor
918,1540,animal trainer
919,1540,director
920,1540,producer
921,1540,co-founder
922,1540,writer
923,1541,director
924,1541,actress
925,1541,writer
926,774,manager
927,774,exhibitor
928,1544,adapter
929,1544,actress
930,1544,writer
931,1545,writer
932,1545,actress
933,1545,editor
934,1547,director
935,1547,writer
936,1547,editor
937,1547,producer
938,1549,adapter
939,1549,writer
940,1549,director
941,1549,editor
942,1549,producer
943,1550,reader
944,1550,editor
945,1550,writer
946,1552,writer
947,1552,personal assistant
948,1552,editor
949,1553,director
950,1553,actress
951,1553,writer
952,1556,extra
